Products,Reactants,Spectators
"'N', 'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)O)C1)OC1=CC(=CC=C1)SC'",FC=1C=NC(=C(C(=O)O)C1)OC1=CC(=CC=C1)SC; CCN(CC)CC; Cl.N[C@H]1CC[C@H](CC1)O; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'Cl.NC1CCC(CC1)(O)C',Cl; OC1(CCC(CC1)NC(OC(C)(C)C)=O)C,[]
'Cl.NC1C(CCCC1)(O)C',Cl; OC1(C(CCCC1)NC(OC(C)(C)C)=O)C,[]
'FC=1C=C(C(=NC1)OC1=CC(=CC=C1)SC)C(=O)NC@@H1CCC@H(CC1)NC(=O)C1=NC=CC=C1',Cl.N[C@@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; N1=C(C=CC=C1)C(=O)O; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'ClCCCCC(=O)NC@@H1CCC@H(CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O',Cl.N[C@@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; ClCCCCC(=O)Cl,[]
'FC=1C=NC(=C(C(=O)NC2(CCCCC2)CO)C1)OC1=CC(=CC=C1)SC',NC1(CCCCC1)CO; FC=1C=NC(=C(C(=O)O)C1)OC1=CC(=CC=C1)SC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,['CN(C=O)C']
'C(C)(C)(C)OC(NC@@H1CCC@@H(CC1)NC(=O)C=1C(=NC=C(C1)F)Cl)=O',C(C)(C)(C)OC(NC1CCC(CC1)N)=O; CCN(CC)CC; FC=1C=NC(=C(C(=O)O)C1)Cl; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'C1(CC1)CC(=O)NC@H1CCC@H(CC1)NC(C1=C(N=CC=C1)OC1=CC(=CC=C1)SC)=O',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC=C1)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; C1(CC1)CC(=O)O; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'FC=1C=NC(=C(C(=O)NC@H2CC@@H(CCC2)O)C1)OC1=CC(=CC=C1)SC',CSC=1C=C(OC2=C(C(=O)O)C=C(C=N2)F)C=CC1; CCN(CC)CC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2; CN(C=O)C,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)NC(C(C)C)=O)C1)OC1=CC(=CC=C1)SC',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; CC(C)C(O)=O; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'C(CCC)(=O)NC@H1CCC@H(CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; CCCC(O)=O; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'FC=1C=NC(=C(C(=O)NC@H2C@@H(CCCC2)CO)C1)OC1=CC(=CC=C1)SC',Cl.OC[C@H]1[C@@H](CCCC1)N; FC=1C=NC(=C(C(=O)O)C1)OC1=CC(=CC=C1)SC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,['CN(C=O)C']
'C(C)(C)(C)OC(NC1CCC(CC1)N)=O',NC1CCC(CC1)N; C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)NC(=O)C2COCC2)C1)OC1=CC(=CC=C1)SC',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2; CN(C=O)C,[]
'C(C)SC=1C=C(OC2=C(C(=O)NCC3(CCCCC3)O)C=C(C=N2)F)C=CC1',C(C)SC=1C=C(OC2=C(C(=O)O)C=C(C=N2)F)C=CC1; NCC1(CCCCC1)O; CCN(CC)CC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'C(C)OC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SCC)=O',ClC1=C(C(=O)OCC)C=C(C=N1)F; C(C)SC=1C=C(C=CC1)O; C([O-])([O-])=O.[Cs+].[Cs+],[]
'Cl.OCC(C(=O)NC1CCC(CC1)NC(OC(C)(C)C)=O)(C)C',Cl; OCC(C(=O)NC1CCC(CC1)NC(OC(C)(C)C)=O)(C)C,[]
'ClC1=C(C(=O)O)C=C(C=N1)F',C(C)OC(C1=C(N=CC(=C1)F)Cl)=O; [Li+].[OH-]; Cl; CCOCC,[]
'OC@@H1C@@H(CCCC1)NC(C1=C(N=CC=C1)OC1=CC(=CC=C1)SC)=O',Cl.CN(CCCN=C=NCC)C; CSC=1C=C(OC2=C(C(=O)O)C=CC=N2)C=CC1; ON1N=NC2=C1C=CC=C2; CCN(CC)CC; CN(C=O)C,[]
'C(C)(=O)NC@H1CCC@H(CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; CC(Cl)=O,[]
'C1(CCCCC1)NC(C1=C(N=CC=C1)OC1=CC(=CC=C1)SC)=O',CSC=1C=C(OC2=C(C(=O)O)C=CC=N2)C=CC1; CCN(CC)CC; Cl.C1(CCCCC1)N; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'Cl.NC1CCC(CC1)(O)C',Cl; OC1(CCC(CC1)NC(OC(C)(C)C)=O)C,[]
'ClCCCCC(=O)NC@H1CCC@H(CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; ClCCCCC(=O)Cl,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@H(CC2)CO)C1)OC1=CC(=CC=C1)SC',N[C@@H]1CC[C@H](CC1)CO; CCN(CC)CC; FC=1C=NC(=C(C(=O)O)C1)OC1=CC(=CC=C1)SC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@H(CC2)O)C1)OC1=CC(=C(C=C1)SC)OC',ClC1=C(C(=O)N[C@@H]2CC[C@H](CC2)O)C=C(C=N1)F; CSC1=C(C=C(C=C1)O)OC; C([O-])([O-])=O.[Cs+].[Cs+],[]
'ClC1=C(C=C(OC2=C(C(=O)NC@@H3CCC@H(CC3)O)C=C(C=N2)F)C=C1)SC',ClC1=C(C(=O)N[C@@H]2CC[C@H](CC2)O)C=C(C=N1)F; ClC1=C(C=C(C=C1)O)SC; C([O-])([O-])=O.[Cs+].[Cs+],[]
'C(C=C)OC1=CC2=C(SC(O2)=O)C=C1',C(C=C)Br; Oc1ccc2sc(=O)oc2c1; C([O-])([O-])=O.[K+].[K+],[]
'CSC1=CC=C(OC2=NC=CC=C2C(=O)NC@H2CCC@H(CC2)C(=O)O)C=C1',C(C1=CC=CC=C1)OC(=O)[C@@H]1CC[C@@H](CC1)NC(=O)C=1C(=NC=CC1)OC1=CC=C(C=C1)SC,"['C(=O)O', 'CO', 'CN(C=O)C', 'C(=O)O']"
'C(C=C)OC1=CC(=C(C=C1)SC)OC',C(C=C)OC=1C=CC(=C(C1)O)S; C([O-])([O-])=O.[K+].[K+]; CI,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)CO)C1)OC1=CC(=CC=C1)S(=O)C',OC[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; C(C)(C)O,['O1CCCC1']
'C(C)SC=1C=C(C=CC1)O',B(Br)(Br)Br; C(C)SC1=CC(=CC=C1)OC; OCCNCCO; O,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@H(CC2)O)C1)OC1=CC(=CC=C1)SC',ClC1=C(C(=O)N[C@@H]2CC[C@H](CC2)O)C=C(C=N1)F; CSC=1C=C(C=CC1)O; C([O-])([O-])=O.[Cs+].[Cs+],[]
'OCC(C(=O)NC1CCC(CC1)NC(OC(C)(C)C)=O)(C)C',NC1CCC(CC1)NC(OC(C)(C)C)=O; OCC(C(=O)O)(C)C; CCN(CC)CC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'FC=1C=NC(=C(C(=O)NC@@H2CC@H(CCC2)O)C1)OC1=CC(=CC=C1)SC',CSC=1C=C(OC2=C(C(=O)O)C=C(C=N2)F)C=CC1; CCN(CC)CC; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2; CN(C=O)C,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)NC(CO)=O)C1)OC1=CC(=CC=C1)SC',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; OCC(O)=O; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'FC=1C=NC(=C(C(=O)NC@@H2CCC@@H(CC2)NC(=O)C2(CC2)C)C1)OC1=CC(=CC=C1)SC',Cl.N[C@H]1CC[C@H](CC1)NC(C1=C(N=CC(=C1)F)OC1=CC(=CC=C1)SC)=O; CCN(CC)CC; CC1(CC1)C(=O)O; Cl.CN(CCCN=C=NCC)C; ON1N=NC2=C1C=CC=C2,[]
'C(C)(C)(C)OC(=O)N(CC1=CC=CC=C1)C@H(C@H1CO1)CC1=CC=CC=C1',[I-].C[S+](C)C; CC(C)([O-])C.[K+]; C(C)(C)(C)OC(=O)N([C@@H](CC1=CC=CC=C1)C=O)CC1=CC=CC=C1,['CC#N']
'C(C)(C)(C)OC(=O)N(C@@H(CC1=CC=CC=C1)C=O)CC1=CC=CC=C1',C(C)(C)(C)OC(=O)N([C@@H](CC1=CC=CC=C1)CO)CC1=CC=CC=C1; CC1(C)CCCC(C)(C)N1[O]; [Na+].[Br-]; C([O-])(O)=O.[Na+],['Cc1ccccc1']
'CCCC(N)=O',C(=O)(OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)(C)C)C(=O)O; On1nnc2ccccc12; C(CCl)Cl; CN1CCOCC1,[]
'C(C1=CC=CC=C1)OC(=O)NC@H(C@@H(CCl)O)CC1=CC=CC=C1',ClC(=O)C.C(C1=CC=CC=C1)OC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O; [BH4-].[Na+],[]
'C(C1=CC=CC=C1)NC@@H(CC1=CC=CC=C1)CO',N[C@@H](CC1=CC=CC=C1)CO; CC(O)=O; [H]C(=O)c1ccccc1; C(#N)[BH3-].[Na+],"['CO', 'CO']"
'C(C)(C)(C)OC(=O)N(C@@H(CC1=CC=CC=C1)CO)CC1=CC=CC=C1',C(C1=CC=CC=C1)N[C@@H](CC1=CC=CC=C1)CO; CO; CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,[]
'ClS(=O)(=O)C1=CC2=C(N=CS2)C=C1',S(=O)(Cl)Cl; S1C=NC2=C1C=C(C=C2)S(=O)(=O)O; CN(C=O)C,[]
'CS(=O)(=O)O.O1COC2=C1C=CC(=C2)S(=O)(=O)N(CC(C)C)CC@H(C@H(CC2=CC=CC=C2)N)O',O1COC2=C1C=CC(=C2)S(=O)(=O)N(CC(C)C)C[C@H]([C@H](CC2=CC=CC=C2)N(CC2=CC=CC=C2)CC2=CC=CC=C2)O; O; CS(=O)(=O)O; O,[]
'C(C@H(O)C@@H(O)C(=O)O)(=O)O.C1(=CC=CC=C1)CN(CC1=CC=CC=C1)C@H(C@@H(CNCC(C)C)O)CC1=CC=CC=C1',C1(=CC=CC=C1)CN(CC1=CC=CC=C1)[C@H]([C@@H](CNCC(C)C)O)CC1=CC=CC=C1; C1(=CC=CC=C1)CN(CC1=CC=CC=C1)[C@H]([C@@H](CNCC(C)C)O)CC1=CC=CC=C1; O[C@H]([C@@H](O)C(O)=O)C(O)=O,[]
'C(C1=CC=CC=C1)NC@@H(CC1=CC=CC=C1)CO',N[C@@H](CC1=CC=CC=C1)CO; [H]C(=O)c1ccccc1; [H][H],[]
'NC=1SC2=C(N1)C=CC(=C2)NS(=O)=O',[Br]; S(=O)(=O)NC1=CC=C(C=C1)NC(=S)N; O; [NH4+].[OH-],[]
'C(C)(C)(C)OC(=O)N(C@@H(CC1=CC=CC=C1)C=O)CC1=CC=CC=C1',C(C)(C)(C)OC(=O)N([C@@H](CC1=CC=CC=C1)CO)CC1=CC=CC=C1; CCN(CC)CC; N1=CC=CC=C1.S(=O)(=O)=O; O,[]
'C(C1=CC=CC=C1)OC(=O)NC@H(C@H1CO1)CC1=CC=CC=C1',[OH-].[K+]; C(C1=CC=CC=C1)OC(=O)N[C@H]([C@@H](CCl)O)CC1=CC=CC=C1; CCOC(C)=O,[]
'ClS(=O)(=O)C1=CC2=C(N=C(N2)NC(=O)OC)C=C1',C(=O)(OC)NC=1NC2=C(N1)C=CC=C2; ClS(=O)(=O)O,[]
'C(C1=CC=CC=C1)OC(=O)NC@H(C@@H(CCl)O)CC1=CC=CC=C1',ClC(=O)C.C(C1=CC=CC=C1)OC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O; [BH4-].[Na+],[]
'OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)N',BrC=1C=C2C=CC(=CC2=CC1)C(=O)O; CCCCCC.C(CCC)[Li]; C1=C2N(C=N1)CCC2=O; [Cl-].[NH4+],['C1CCCO1']
'BrC=1C=C2C=CC(=CC2=CC1)C(=O)NC1CCC1',BrC=1C=C2C=CC(=CC2=CC1)C(=O)O; Cl.C(C)N=C=NCCCN(C)C; O.ON1N=NC2=C1C=CC=C2; C(C)N(C(C)C)C(C)C; C1(CCC1)N,[]
'C=1N=CN2C1C(CCC2)=O',OCCCC(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; CCN(CC)CC; CS(Cl)(=O)=O; O,[]
'OC1(C=2N(CCC1)C=NC2)C2=CC=C(C=C2)C2=CC(=CC=C2)NC(C)=O',C(C)(=O)NC=1C=C(C=CC1)OB(O)O; BrC1=CC=C(C=C1)C1(C=2N(CCC1)C=NC2)O; [Na+].[Na+].[O-]C([O-])=O,[]
'OCCC(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1',C(C1=CC=CC=C1)(C1=CC=CC=C1)(C1=CC=CC=C1)N1C=NC(=C1)C(CCO)O,[]
'OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)NC',CN; C(CCC)[Li]; OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)N(C(C)C)C(C)C; O,['C1CCCO1']
'BrCCC(=O)C=1N=CNC1',C(C1=CC=CC=C1)(C1=CC=CC=C1)(C1=CC=CC=C1)N1C=NC(=C1)C(C=C)=O; Br; C(C)(C)OC(C)C,[]
'OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)N',OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)O; Cl.C(C)N=C=NCCCN(C)C; O.ON1N=NC2=C1C=CC=C2; C(C)(C)N(CC)C(C)C,[]
'C1=C2N(C=N1)CCC2C=2C=C1C=CC(=CC1=CC2)C(=O)NC',OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)NC; Cl,[]
'BrC=1C=C2C=CC(=CC2=CC1)C(=O)NC1CC1',BrC=1C=C2C=CC(=CC2=CC1)C(=O)O; Cl.C(C)N=C=NCCCN(C)C; O.ON1N=NC2=C1C=CC=C2; C(C)N(C(C)C)C(C)C; C1(CC1)N,[]
'OCCCC(=O)C=1N=CNC1',O1C(CCCC1)OCCCC(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; Cl; C([O-])(O)=O.[Na+],[]
'C(C1=CC=CC=C1)(C1=CC=CC=C1)(C1=CC=CC=C1)N1C=NC(=C1)C(CCO)O',[H-].[Al+3].[Li+].[H-].[H-].[H-]; OC(CC(=O)OCC)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; O.C1CCCO1,[]
'C1=C2N(C=N1)CCC2=O',BrCCC(=O)C=1N=CNC1; CCN(CC)CC; CCN(CC)CC,[]
'OCCCC(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1',OCCCC(=O)C=1N=CNC1; ClC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,[]
'BrC=1C=C2C=CC(=CC2=CC1)C(=O)NC',BrC=1C=C2C=CC(=CC2=CC1)C(=O)O; Cl.C(C)N=C=NCCCN(C)C; O.ON1N=NC2=C1C=CC=C2; C(C)N(C(C)C)C(C)C; CN,['CN(C=O)C']
'BrC=1C=C(C=CC1)C1=CC=C(C=C1)F',Brc1cccc(Br)c1; OB(O)c1ccc(F)cc1; [Na+].[Na+].[O-]C([O-])=O,[]
'OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)NC',CCCCCC.C(CCC)[Li]; BrC=1C=C2C=CC(=CC2=CC1)C(=O)NC; C1=C2N(C=N1)CCC2=O; [Cl-].[NH4+],['C1CCCO1']
'O1C(CCCC1)OCCCC(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1',O1C(CCCC1)OCC#CC(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,['CCOC(C)=O']
'OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)NC',C(C)(C)NC(C)C; C(CCC)[Li]; CCOC(C)=O; C(C)(C)N(C(=O)C1=CC2=CC=C(C=C2C=C1)C(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C,['C1CCCO1']
'C1=C2N(C=N1)CCC2=O',OCCC(=O)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; CCN(CC)CC; CS(Cl)(=O)=O; O,[]
'OC(CC(=O)OCC)C=1N=CN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1',C(C)(C)NC(C)C; C(CCC)[Li]; C(C1=CC=CC=C1)(C1=CC=CC=C1)(C1=CC=CC=C1)N1C=NC(=C1)C=O; [Cl-].[NH4+]; CCOC(C)=O,"['C1CCCO1', 'CCCCCC', 'C1CCCO1']"
'COC1=CC2=C(SC(=C2)C2(CCN3C=NC=C32)O)C=C1',COC1=CC2=C(SC=C2)C=C1; CCCCCC.C(CCC)[Li]; C1=C2N(C=N1)CCC2=O,[]
'FC1=CC2=C(SC(=C2)C2(CCN3C=NC=C32)O)C=C1',FC1=CC2=C(SC=C2)C=C1; C1=C2N(C=N1)CCC2=O,[]
'OC1(CCN2C=NC=C21)C=2C=C1C=CC(=CC1=CC2)C(=O)NC',CCCCCC.C(CCC)[Li]; BrC=1C=C2C=CC(=CC2=CC1)C(=O)NC; CCCCCC.C(CCC)[Li]; C1=C2N(C=N1)CCC2=O; [Cl-].[NH4+],['C1CCCO1']
'BrC=1C=C2C=CC(=CC2=CC1)C(=O)Cl',BrC=1C=C2C=CC(=CC2=CC1)C(=O)O; S(=O)(Cl)Cl; O=CN(C)C,[]
'C1(=CCCCC1)C1=CNC2=CC(=CC=C12)C(=O)O',N1C=CC2=CC=C(C=C12)C(=O)O; CO; O=C1CCCCC1; O,[]
'NC=1NC2=C(N1)C=CC(=C2)C(=O)O',N#CBr; NC=1C=C(C(=O)[O-])C=CC1N; C([O-])([O-])=O.[Na+].[Na+],[]
'C1(=CC=CC=C1)C=1NC2=CC=CC=C2C1',C(C)(=O)NC1=CC=CC=C1; C1(=CC=CC=C1)C#C; CCOC(=O)C,"['O1CCOCC1', 'CNC(N(C)C)=NC', 'CCCCCC']"
'COC(\\C(=C\\C1=CC=C(C=C1)N)\\C)=O',CC(C(=O)O)=CC1=CC=C(C=C1)[N+](=O)[O-]; CO; C(C)(=O)O,['CCOC(=O)C']
'N1=C(C=CC=C1)C=1OC2=C(C1)C=CC=C2',BrC=1OC2=C(C1)C=CC=C2; C(CCC)[Sn](C1=NC=CC=C1)(CCCC)CCCC; C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1; [Li+].[Cl-],[]
'NC=1SC=CN1',NC(N)=S; BrCC(C(=O)OCC)=O,[]
'C(N)(O-)=S',BrC=1C=C(C(=CC1)C(=O)C1CCCC1)O; N12CCN(CC1)CC2; CN(C(=S)Cl)C; Cl,[]
'C(C)OC(\\C=C\\C1=CC=C(C=C1)NC(=O)C1(CCC1)N)=O',C(C)(C)N(C(C)C)CC; NC1=CC=C(C=CC(=O)OCC)C=C1; [P-](F)(F)(F)(F)(F)F.N1(N=NC2=C1N=CC=C2)OC(=[N+](C)C)N(C)C; C(C)(C)(C)OC,[]
'BrC(=O)C',Br; CCOC(=O)C,[]
'Br',NC=1SC=C(N1)C; BrBr,[]
